path,old_status,new_status,disposition,old_base_object,old_tip_object,new_base_object,new_tip_object
.agents/skills/coding/SKILL.md,added,added,preserved_exactly,,ceeed19cb5e79adb090a35e626662d8b6f99f155,,ceeed19cb5e79adb090a35e626662d8b6f99f155
.agents/skills/coding/agents/openai.yaml,added,added,preserved_exactly,,1a8a7d78eab6ddb19c6aa2bbd9978b14a1e8e267,,1a8a7d78eab6ddb19c6aa2bbd9978b14a1e8e267
.agents/skills/coding/references/design.md,added,added,preserved_exactly,,9462cbb70d801595b97d35cdca27def86e03596c,,9462cbb70d801595b97d35cdca27def86e03596c
.agents/skills/coding/references/implementation.md,added,added,preserved_exactly,,f708ed9406ad445e67dbf5427c883051cade5df4,,f708ed9406ad445e67dbf5427c883051cade5df4
.agents/skills/coding/references/requirements.md,added,added,preserved_exactly,,ca442832873991b544509dcbe43e95bc32fdf1de,,ca442832873991b544509dcbe43e95bc32fdf1de
.agents/skills/coding/references/tasks.md,added,added,preserved_exactly,,4907d54b0cf2b12de8fefb05b61d1f19211656e6,,4907d54b0cf2b12de8fefb05b61d1f19211656e6
.agents/skills/coding/scripts/test_validate_spec.py,added,added,preserved_exactly,,55072b0135c6f1a58ad89cfde38be493e25abb07,,55072b0135c6f1a58ad89cfde38be493e25abb07
.agents/skills/coding/scripts/validate_spec.py,added,added,preserved_exactly,,36ba8c7c74794c1be91294fb4c88665c5ca03e04,,36ba8c7c74794c1be91294fb4c88665c5ca03e04
.agents/skills/commit/SKILL.md,added,added,preserved_exactly,,14e8e0ae3b89caae8b7a8bfdeeed82075ebba52b,,14e8e0ae3b89caae8b7a8bfdeeed82075ebba52b
.agents/skills/execute-spec-task/SKILL.md,added,added,preserved_exactly,,22f36a3c67ca97df73ce205939b658213421b7ef,,22f36a3c67ca97df73ce205939b658213421b7ef
.agents/skills/execute-spec-task/agents/openai.yaml,added,added,preserved_exactly,,68aca6c13aae2e6c25aa60d6c6f6b9e81193f5d9,,68aca6c13aae2e6c25aa60d6c6f6b9e81193f5d9
.agents/skills/feature-spec/SKILL.md,added,added,preserved_exactly,,7a40d64f3a71540caefdebe034aa5f5b45953579,,7a40d64f3a71540caefdebe034aa5f5b45953579
.agents/skills/feature-spec/agents/openai.yaml,added,added,preserved_exactly,,54e513902c4211d6b252cebc714718a4209bfa10,,54e513902c4211d6b252cebc714718a4209bfa10
.agents/skills/feature-spec/references/design.md,added,added,preserved_exactly,,5dfb137ddfaea515a2d53fe9ffb0261c93380396,,5dfb137ddfaea515a2d53fe9ffb0261c93380396
.agents/skills/feature-spec/references/requirements.md,added,added,preserved_exactly,,95e01dcf05334e2d592c36de084410c75807da28,,95e01dcf05334e2d592c36de084410c75807da28
.agents/skills/feature-spec/references/tasks.md,added,added,preserved_exactly,,ab0bd6c63a8df461e18bbebfd182f535026f8f7d,,ab0bd6c63a8df461e18bbebfd182f535026f8f7d
.agents/skills/feature-spec/scripts/validate_spec.py,added,added,preserved_exactly,,1f5b0d3ee053b9ce24518ca8f81530142c4329eb,,1f5b0d3ee053b9ce24518ca8f81530142c4329eb
.agents/skills/gpui-test/SKILL.md,modified,modified,preserved_exactly,3d92659a55261fce5bfbb2d766d802d646bf5a18,3b4abac844a1fc24f4d1d9a697ace35072fecff5,3d92659a55261fce5bfbb2d766d802d646bf5a18,3b4abac844a1fc24f4d1d9a697ace35072fecff5
.agents/skills/land/SKILL.md,added,added,preserved_exactly,,00991b380712c3b33d3fb38ba249686bc09fb10c,,00991b380712c3b33d3fb38ba249686bc09fb10c
.agents/skills/living-documentation/SKILL.md,added,added,preserved_exactly,,5c088aa52d5eeda7371ebd0c1b97e88c3e3cfce7,,5c088aa52d5eeda7371ebd0c1b97e88c3e3cfce7
