record_id,node_document_name,locales,locale_count,asset_files,asset_count,visual_media_count,all_english_docs_ai_generated_marker,declared_source_fingerprint,docs_site_path,docs_site_declared_fingerprint,docs_sync_status,registry_match_kind,corroboration_status,corroborated_feature_ids,evidence_level,native_parity_treatment
COMFY-EMBEDDOC-B386E498BBD7,APG,ar; en; es; fa; fr; ja; ko; pt-BR; ru; tr; zh; zh-TW,12,,0,0,true,89e2486bf08f750f82608db93c389f0b25ce0be766f62faa8704d19bd7e41654,built-in-nodes/APG.mdx,89e2486bf08f750f82608db93c389f0b25ce0be766f62faa8704d19bd7e41654,fingerprint-match,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0007,documented-only,Map the legacy identifier to a versioned native Rust/WASM node descriptor; never execute Python or JavaScript in production.
COMFY-EMBEDDOC-3634B0A45684,ARVideoI2V,ar; en; es; fa; fr; ja; ko; pt-BR; ru; tr; zh; zh-TW,12,,0,0,true,0445b279ba49fa946050cfa70d1e6b13240eaa600b99dfe63f27c3203dc4b61b,built-in-nodes/ARVideoI2V.mdx,0445b279ba49fa946050cfa70d1e6b13240eaa600b99dfe63f27c3203dc4b61b,fingerprint-match,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0008,documented-only,Map the legacy identifier to a versioned native Rust/WASM node descriptor; never execute Python or JavaScript in production.
COMFY-EMBEDDOC-B1A6246D7202,AddNoise,ar; en; es; fa; fr; ja; ko; pt-BR; ru; tr; zh; zh-TW,12,,0,0,true,7e2b3e7f55c7c4380e831be5a558c506a6328ad2ec974f550ed30b40ddfab037,built-in-nodes/AddNoise.mdx,7e2b3e7f55c7c4380e831be5a558c506a6328ad2ec974f550ed30b40ddfab037,fingerprint-match,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0001,documented-only,Map the legacy identifier to a versioned native Rust/WASM node descriptor; never execute Python or JavaScript in production.
COMFY-EMBEDDOC-8A7499E81065,AddTextPrefix,ar; en; es; fa; fr; ja; ko; pt-BR; ru; tr; zh; zh-TW,12,,0,0,true,71744a8dc3056b8f20eb2cb7ac16002ce86e214a660aa1d145f501d6d7dc5b53,built-in-nodes/AddTextPrefix.mdx,71744a8dc3056b8f20eb2cb7ac16002ce86e214a660aa1d145f501d6d7dc5b53,fingerprint-match,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0002,documented-only,Map the legacy identifier to a versioned native Rust/WASM node descriptor; never execute Python or JavaScript in production.
COMFY-EMBEDDOC-9E56757F2C67,AddTextSuffix,ar; en; es; fa; fr; ja; ko; pt-BR; ru; tr; zh; zh-TW,12,,0,0,true,9b73a9352d21feb5041de550cc4463222c9ccbc1ef4937415d4dc8c5648d3a90,built-in-nodes/AddTextSuffix.mdx,9b73a9352d21feb5041de550cc4463222c9ccbc1ef4937415d4dc8c5648d3a90,fingerprint-match,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0003,documented-only,Map the legacy identifier to a versioned native Rust/WASM node descriptor; never execute Python or JavaScript in production.
COMFY-EMBEDDOC-B9C69BAD3FD7,AdjustBrightness,ar; en; es; fa; fr; ja; ko; pt-BR; ru; tr; zh; zh-TW,12,,0,0,true,dd1a35a4a133e6e15bb51788376e89c4e20e52ad395f889f4a4aa34fa614612e,built-in-nodes/AdjustBrightness.mdx,dd1a35a4a133e6e15bb51788376e89c4e20e52ad395f889f4a4aa34fa614612e,fingerprint-match,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0004,documented-only,Map the legacy identifier to a versioned native Rust/WASM node descriptor; never execute Python or JavaScript in production.
COMFY-EMBEDDOC-6CE01C2C8092,AdjustContrast,ar; en; es; fa; fr; ja; ko; pt-BR; ru; tr; zh; zh-TW,12,,0,0,true,3debe91086d9818883dbe29b0cb2ae3ecaed44e4636b124d42a85d9906252330,built-in-nodes/AdjustContrast.mdx,3debe91086d9818883dbe29b0cb2ae3ecaed44e4636b124d42a85d9906252330,fingerprint-match,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0005,documented-only,Map the legacy identifier to a versioned native Rust/WASM node descriptor; never execute Python or JavaScript in production.
COMFY-EMBEDDOC-860D80BAB451,AlignYourStepsScheduler,ar; en; es; fa; fr; ja; ko; pt-BR; ru; tr; zh; zh-TW,12,,0,0,true,ea8694299147f6f28a1191f0f3c416c64cff9ca3a73bc54fa9319ab7eaab4ce9,built-in-nodes/AlignYourStepsScheduler.mdx,ea8694299147f6f28a1191f0f3c416c64cff9ca3a73bc54fa9319ab7eaab4ce9,fingerprint-match,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0006,documented-only,Map the legacy identifier to a versioned native Rust/WASM node descriptor; never execute Python or JavaScript in production.
COMFY-EMBEDDOC-AA9BE571D813,AudioAdjustVolume,ar; en; es; fa; fr; ja; ko; pt-BR; ru; tr; zh; zh-TW,12,,0,0,true,8c19625104901a0c57021b1a775fdf287c8bd0fb1fd535809e1983b1949ca752,built-in-nodes/AudioAdjustVolume.mdx,8c19625104901a0c57021b1a775fdf287c8bd0fb1fd535809e1983b1949ca752,fingerprint-match,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0009,documented-only,Map the legacy identifier to a versioned native Rust/WASM node descriptor; never execute Python or JavaScript in production.
COMFY-EMBEDDOC-2C3056485CA7,AudioConcat,ar; en; es; fa; fr; ja; ko; pt-BR; ru; tr; zh; zh-TW,12,,0,0,true,faccc3d42e9c6927deadb7d5f7fe9e5bbbf08e4e9a3d636f42a2b9f995eec8c1,built-in-nodes/AudioConcat.mdx,faccc3d42e9c6927deadb7d5f7fe9e5bbbf08e4e9a3d636f42a2b9f995eec8c1,fingerprint-match,registered-node-id-exact,executable-backend-registry,COMFY-NODE-0010,documented-only,Map the legacy identifier to a versioned native Rust/WASM node descriptor; never execute Python or JavaScript in production.
