source_file,classification,mapped_feature_ids,reason,sha256,size_bytes
.ci/update_windows/update.py,infrastructure-only,,"Repository automation, packaging, release, or policy infrastructure; not runtime product behavior.",95af41facaec54aee4db35127c1d3070cd860f90f07f063997ba57b7cc436468,5782
.ci/update_windows/update_comfyui.bat,infrastructure-only,,"Repository automation, packaging, release, or policy infrastructure; not runtime product behavior.",a8bdd5e1c8799d8b6891c76cd552168794f50f52e8dd86b1ecf4f1f163fc2a7f,276
.ci/update_windows/update_comfyui_stable.bat,infrastructure-only,,"Repository automation, packaging, release, or policy infrastructure; not runtime product behavior.",b5a40fd6f5652f46bd634a34778c65deb46a29c456a79680e27c8193127e92ab,294
.ci/windows_amd_base_files/README_VERY_IMPORTANT.txt,infrastructure-only,,"Repository automation, packaging, release, or policy infrastructure; not runtime product behavior.",29a84df2a845177a68f9cff036c9a083421bda73040a0ac62427fef18c649e70,893
.ci/windows_amd_base_files/run_amd_gpu.bat,infrastructure-only,,"Repository automation, packaging, release, or policy infrastructure; not runtime product behavior.",57881c9918cb3cecb45bd7932a849588c2348e6032989fd47511d07fb6b37ed2,82
.ci/windows_amd_base_files/run_amd_gpu_enable_dynamic_vram.bat,infrastructure-only,,"Repository automation, packaging, release, or policy infrastructure; not runtime product behavior.",e2cc72b85bc517cc42366382df9c31c4395e554d1c5819ff0a518884ea4b7629,104
.ci/windows_intel_base_files/run_intel_gpu.bat,infrastructure-only,,"Repository automation, packaging, release, or policy infrastructure; not runtime product behavior.",57881c9918cb3cecb45bd7932a849588c2348e6032989fd47511d07fb6b37ed2,82
.ci/windows_nightly_base_files/run_nvidia_gpu_fast.bat,infrastructure-only,,"Repository automation, packaging, release, or policy infrastructure; not runtime product behavior.",5220bf23085a5a29f5a6c18478ce33cc5ec93b52067bc41af547f2722b91884d,89
.ci/windows_nvidia_base_files/README_VERY_IMPORTANT.txt,infrastructure-only,,"Repository automation, packaging, release, or policy infrastructure; not runtime product behavior.",ff1823d28236fbaa6dec71df5d267c5a7e8912c9965383533ffafccc4118958b,1030
.ci/windows_nvidia_base_files/advanced/run_nvidia_gpu_disable_api_nodes.bat,infrastructure-only,,"Repository automation, packaging, release, or policy infrastructure; not runtime product behavior.",b1d0a0df882597ba51e57c6d9110b8e66a2173ffc0d574e4322b8a45042be674,316
.ci/windows_nvidia_base_files/run_cpu.bat,infrastructure-only,,"Repository automation, packaging, release, or policy infrastructure; not runtime product behavior.",7e37d2ebe49f33b6aaf619be8d671c85689c96630c4b1815d47c61fb095614ae,88
.ci/windows_nvidia_base_files/run_nvidia_gpu.bat,infrastructure-only,,"Repository automation, packaging, release, or policy infrastructure; not runtime product behavior.",ae0921fdc0932bb79ad80416cbc1c88dd09e745ef234896ed4e02eb23f7d0dcd,292
.ci/windows_nvidia_base_files/run_nvidia_gpu_fast_fp16_accumulation.bat,infrastructure-only,,"Repository automation, packaging, release, or policy infrastructure; not runtime product behavior.",f3ab3841cb2f05c44558c5ebfc4e8cc173273dcff9feea7d434519a9d1dabc56,317
.coderabbit.yaml,infrastructure-only,,"Repository automation, packaging, release, or policy infrastructure; not runtime product behavior.",bb80e6f70623e260eac647ba9588f48793fe9035fcd6b23cc6aa5be39aee1181,3875
.gitattributes,infrastructure-only,,"Repository automation, packaging, release, or policy infrastructure; not runtime product behavior.",cd3d5495340d3a5169b4d39e22a4f7ce07d2ed7ecbd1d6a2ee190bc3f0a58ee8,112
